binName	chr	binStart	binEnd	topHeight	topPos	start25	end25	start50	end50	start75	end75	peakHeight	readCounts25	readCounts50
chr1:85643201:85643247:+	chr1	85643201	85643247	9	85643221	85643201	85643247	85643206	85643247	85643206	85643227	9	9	9
chr1:85739336:85739353:+	chr1	85739336	85739357	5	85739345	85739336	85739353	85739336	85739353	85739336	85739353	5	5	5
chr1:85802653:85802670:+	chr1	85802653	85802686	6	85802666	85802653	85802670	85802653	85802670	85802653	85802670	6	5	5
chr1:85816218:85816233:+	chr1	85816218	85816233	5	85816226	85816218	85816233	85816218	85816233	85816218	85816233	5	5	5
chr1:85818438:85818465:+	chr1	85818427	85818507	9	85818454	85818438	85818465	85818438	85818465	85818442	85818465	9	9	9
chr1:85849298:85849342:+	chr1	85849282	85849342	68	85849325	85849298	85849342	85849311	85849342	85849316	85849340	73	81	81
chr1:85849368:85849397:+	chr1	85849362	85849411	37	85849384	85849368	85849397	85849368	85849397	85849370	85849395	39	37	37
chr1:85849463:85849484:+	chr1	85849456	85849484	6	85849475	85849463	85849484	85849463	85849484	85849464	85849484	6	6	6
chr1:85849505:85849536:+	chr1	85849505	85849542	6	85849515	85849505	85849536	85849505	85849536	85849505	85849524	6	6	6
chr1:85849669:85849714:+	chr1	85849668	85849767	13	85849696	85849669	85849714	85849669	85849702	85849672	85849698	15	16	16
chr1:85849645:85849667:+	chr1	85849641	85849667	11	85849653	85849645	85849667	85849645	85849664	85849645	85849661	11	11	11
chr1:85849786:85849855:+	chr1	85849775	85849855	8	85849833	85849786	85849855	85849789	85849850	85849818	85849838	9	12	12
chr1:85849982:85850009:+	chr1	85849982	85850019	6	85850001	85849982	85850009	85849982	85850009	85849983	85850009	6	6	6
chr1:85850165:85850201:+	chr1	85850165	85850201	8	85850181	85850165	85850201	85850173	85850198	85850173	85850189	9	8	8
chr1:85850202:85850224:+	chr1	85850202	85850224	5	85850205	85850202	85850224	85850202	85850221	85850204	85850221	5	4	4
chr1:85850486:85850516:+	chr1	85850476	85850516	6	85850499	85850486	85850516	85850486	85850516	85850487	85850503	6	5	5
chr1:85850531:85850564:+	chr1	85850524	85850569	19	85850553	85850531	85850564	85850535	85850563	85850546	85850560	19	19	19
chr1:85850571:85850637:+	chr1	85850570	85850637	16	85850587	85850571	85850637	85850575	85850591	85850576	85850591	16	22	22
chr1:85850766:85850797:+	chr1	85850755	85850797	7	85850780	85850766	85850797	85850769	85850792	85850769	85850789	7	7	7
chr1:85851085:85851121:+	chr1	85851080	85851135	6	85851099	85851085	85851121	85851085	85851111	85851088	85851111	6	6	6
chr1:85851046:85851079:+	chr1	85851033	85851079	5	85851064	85851046	85851079	85851048	85851070	85851058	85851070	5	5	5
chr1:85851166:85851204:+	chr1	85851165	85851205	7	85851183	85851166	85851204	85851178	85851204	85851178	85851187	7	7	7
