Bin	1WT	9WT	10WT	3KO	12KO	13KO	2WT-IgG	4KO-IgG	6WT-IgG	8KO-IgG	11WT-IgG	14KO-IgG
chr1:85643201:85643247:+	1	5	0	0	2	1	0	0	0	1	0	0
chr1:85739336:85739353:+	1	3	1	0	0	0	0	0	0	0	0	0
chr1:85802653:85802670:+	0	1	1	1	1	1	0	0	0	0	0	0
chr1:85816218:85816233:+	1	1	1	0	1	1	0	0	0	0	0	0
chr1:85818438:85818465:+	1	3	1	1	3	0	1	0	1	0	0	0
chr1:85849298:85849342:+	20	28	10	4	4	2	0	1	1	1	0	0
chr1:85849368:85849397:+	5	12	7	3	10	0	0	0	0	0	0	0
chr1:85849463:85849484:+	1	2	0	0	1	2	0	0	0	0	0	0
chr1:85849505:85849536:+	1	2	1	0	2	0	0	0	0	0	0	0
chr1:85849669:85849714:+	1	4	1	1	4	1	0	0	0	0	0	0
chr1:85849645:85849667:+	3	2	2	1	1	2	1	0	0	0	0	0
chr1:85849786:85849855:+	1	5	3	1	0	2	0	0	0	1	0	0
chr1:85849982:85850009:+	0	1	0	2	1	2	0	0	0	0	0	0
chr1:85850165:85850201:+	2	2	1	1	2	0	0	0	0	0	0	0
chr1:85850202:85850224:+	0	1	1	1	1	0	0	0	0	0	0	0
chr1:85850486:85850516:+	0	0	2	1	2	0	0	0	0	0	0	0
chr1:85850531:85850564:+	5	7	0	2	4	1	0	0	0	0	0	0
chr1:85850571:85850637:+	1	3	1	1	3	2	1	0	0	0	0	0
chr1:85850766:85850797:+	2	3	1	1	0	0	0	0	0	0	0	0
chr1:85851085:85851121:+	2	3	1	0	0	0	0	0	0	0	0	0
chr1:85851046:85851079:+	0	3	0	0	0	0	0	0	0	0	0	0
chr1:85851166:85851204:+	1	1	0	0	2	1	0	0	0	0	0	0
chr1:85851232:85851272:+	1	3	0	0	0	1	0	0	0	0	0	0
chr1:85851335:85851383:+	8	9	3	1	2	2	1	0	0	0	0	0
chr1:85851511:85851548:+	3	5	0	1	2	1	0	0	0	0	0	0
chr1:85851462:85851508:+	1	2	2	0	1	1	0	0	0	0	0	0
chr1:85851437:85851461:+	0	3	2	0	0	0	0	0	0	0	0	0
chr1:85695622:85695644:-	4	3	2	4	3	3	1	0	2	0	0	0
chr1:85717422:85717454:-	5	8	6	2	7	2	0	2	1	0	0	0
chr1:85717958:85718000:-	2	6	1	4	3	1	0	0	0	0	0	0
chr1:85718121:85718158:-	1	1	0	0	1	2	0	0	0	0	0	0
chr1:85736965:85736984:-	0	1	1	2	1	1	0	1	0	0	0	0
chr1:85774793:85774815:-	5	5	2	7	5	4	0	0	1	0	0	0
chr1:85799374:85799398:-	5	0	0	0	0	0	0	0	0	0	0	0
chr1:85864565:85864608:-	11	22	20	25	20	15	18	32	28	28	14	19
chr1:85864618:85864644:-	1	3	4	0	1	0	1	7	4	2	5	2
chr15:36776856:36776877:+	1	1	0	3	1	0	0	0	0	0	0	0
chr15:36770824:36770887:-	2	1	1	0	1	0	0	0	0	0	0	0
chr15:36770790:36770823:-	1	4	0	0	1	0	0	0	0	0	0	0
chr15:36770931:36770979:-	3	2	0	0	2	1	0	0	0	0	0	0
chr15:36771044:36771086:-	5	7	3	1	4	2	0	1	0	0	1	4
chr15:36771130:36771204:-	0	0	1	1	2	0	0	0	0	2	0	2
chr15:36771275:36771359:-	6	8	1	1	6	2	0	0	0	0	0	0
chr15:36771362:36771397:-	4	4	1	0	1	1	0	0	0	0	0	0
chr15:36771400:36771441:-	3	5	0	1	0	0	0	0	0	0	0	0
chr15:36771537:36771578:-	3	3	0	0	1	4	0	8	0	5	0	0
chr15:36771597:36771664:-	3	2	1	3	3	1	0	0	1	0	0	0
chr15:36771698:36771756:-	0	1	0	1	3	1	0	0	0	0	0	0
chr15:36771800:36771843:-	9	12	2	1	3	3	0	0	0	0	0	0
chr15:36771999:36772039:-	10	26	7	0	1	2	0	0	0	0	0	0
chr15:36772144:36772175:-	15	19	7	1	2	1	1	0	1	1	0	0
chr15:36772107:36772138:-	8	11	8	3	3	2	0	1	0	0	1	4
chr15:36772177:36772221:-	3	9	5	0	2	2	0	0	0	0	2	0
chr15:36775284:36775319:-	4	4	1	3	5	5	0	0	0	0	0	0
chr15:36775543:36775579:-	0	2	3	0	1	0	0	0	0	0	0	0
chr15:36776253:36776321:-	28	21	14	14	18	11	0	1	1	0	3	0
chr15:36776343:36776370:-	4	4	3	2	3	1	0	0	0	0	2	0
chr15:36790696:36790731:-	0	2	0	2	1	0	0	0	0	0	0	0
chr15:36790752:36790833:-	1	1	2	2	9	1	0	0	0	1	1	0
chr15:36790956:36790989:-	3	7	4	1	7	0	0	0	0	0	0	0
chr15:36790852:36790902:-	2	7	3	1	4	1	0	0	0	0	0	0
chr15:36793483:36793516:-	5	2	3	5	5	2	1	0	0	0	0	0
chr15:36793528:36793568:-	1	1	2	1	0	0	0	0	0	0	0	0
